Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,season,country
Sassuolo,14805,18306,80.9,269825,99100,6480,7323,88.5,6109,7036,86.8,1835,2980,61.6,30,36.1,31.5,-6.1,371,1092,328,82,1565,2022,IT
Spezia,12399,16501,75.1,215537,84262,5772,6701,86.1,4973,6020,82.6,1235,2696,45.8,18,29.3,26.8,-11.3,289,928,267,84,1163,2022,IT
Torino,15376,19336,79.5,275969,93628,6788,7659,88.6,6681,7680,87.0,1502,2948,50.9,34,35.0,30.1,-1.0,375,1159,274,89,1328,2022,IT
Udinese,13391,16790,79.8,246847,93352,5689,6485,87.7,5719,6627,86.3,1624,2751,59.0,41,37.8,33.3,3.2,384,1009,295,70,1354,2022,IT
América (MG),11502,15310,75.1,205952,86291,5201,6064,85.8,4594,5707,80.5,1332,2562,52.0,30,34.4,36.0,-4.4,395,1045,293,111,1387,2023,BR
Ath Paranaense,13162,16909,77.8,243850,90406,5664,6471,87.5,5690,6693,85.0,1560,2907,53.7,38,38.9,35.7,-0.9,419,1096,293,88,1362,2023,BR
Atlético Mineiro,15539,19257,80.7,274719,97475,7030,7866,89.4,6504,7487,86.9,1605,2881,55.7,35,32.9,33.5,2.1,347,1270,266,69,1399,2023,BR
Bahia,13881,17614,78.8,244593,89959,6308,7218,87.4,5777,6830,84.6,1414,2564,55.1,28,31.8,34.2,-3.8,403,1174,305,80,1502,2023,BR
Botafogo (RJ),13905,17472,79.6,257248,92227,5942,6741,88.1,5966,6980,85.5,1687,2921,57.8,40,33.1,32.6,6.9,394,1266,261,97,1438,2023,BR
Corinthians,15479,19002,81.5,275433,98149,6896,7678,89.8,6669,7705,86.6,1578,2712,58.2,28,27.0,27.4,1.0,348,1210,218,72,1377,2023,BR
