Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,season,country
Flamengo,84,3,1,568,511,57,700,404,386,3,1,0,2131,547,435,55.7,2021,BR
Fluminense,85,3,1,553,560,48,717,330,361,3,9,2,1874,488,529,48.0,2021,BR
Fortaleza,90,4,2,591,591,80,608,413,299,2,9,2,1979,587,531,52.5,2021,BR
Grêmio,102,7,1,643,487,34,782,434,370,4,5,1,2089,622,578,51.8,2021,BR
Internacional,105,11,1,660,562,42,725,426,357,5,5,2,1920,571,631,47.5,2021,BR
Juventude,89,3,1,572,656,41,635,401,298,4,5,2,1820,561,589,48.8,2021,BR
Palmeiras,84,7,4,538,559,72,739,419,356,2,6,0,1790,560,480,53.8,2021,BR
Red Bull Bragantino,89,2,1,571,554,33,764,481,346,2,5,1,2002,489,482,50.4,2021,BR
Santos,90,1,0,533,551,59,771,399,293,5,9,1,1947,527,550,48.9,2021,BR
São Paulo,95,4,0,644,528,85,883,331,303,3,1,1,1974,522,567,47.9,2021,BR
Sport Recife,89,4,2,587,520,39,702,428,325,2,5,3,1819,479,534,47.3,2021,BR
Arsenal,67,4,3,365,357,66,633,296,311,6,6,1,1861,463,572,44.7,2021,EN
Aston Villa,81,2,1,401,504,52,670,339,382,2,6,2,1850,538,561,49.0,2021,EN
Brentford,65,3,2,371,363,66,640,393,342,6,5,2,2061,717,728,49.6,2021,EN
Brighton,72,2,0,393,355,53,728,358,403,4,4,0,2154,569,498,53.3,2021,EN
Burnley,68,2,0,394,332,101,747,410,324,2,5,2,2027,827,733,53.0,2021,EN
Chelsea,63,1,0,409,392,69,745,347,348,8,6,1,2084,538,486,52.5,2021,EN
Crystal Palace,69,1,1,414,481,63,643,333,374,6,4,2,2103,610,618,49.7,2021,EN
Everton,82,6,2,368,388,53,653,365,402,7,2,5,2023,634,725,46.7,2021,EN
Leeds United,101,3,0,469,368,63,648,395,437,4,5,1,2260,470,626,42.9,2021,EN
Leicester City,55,1,0,356,396,60,556,367,384,1,9,1,2015,530,553,48.9,2021,EN
Liverpool,50,1,0,363,286,63,897,340,320,5,0,1,2265,571,467,55.0,2021,EN
Manchester City,42,1,0,321,330,66,869,279,284,7,1,0,1967,482,397,54.8,2021,EN
Manchester Utd,77,2,1,396,320,88,659,340,358,3,5,3,2071,555,443,55.6,2021,EN
Newcastle Utd,81,2,1,392,366,71,592,360,383,1,6,2,1835,677,619,52.2,2021,EN
Norwich City,57,1,1,356,431,55,568,381,368,2,12,2,1887,493,598,45.2,2021,EN
Southampton,65,2,1,402,363,42,711,446,340,4,2,2,2224,672,726,48.1,2021,EN
Tottenham,69,1,1,386,406,62,632,355,349,3,2,1,1893,560,500,52.8,2021,EN
Watford,63,3,3,442,352,53,610,444,356,2,7,3,2154,711,749,48.7,2021,EN
West Ham,52,3,2,323,276,59,802,374,301,3,6,2,1970,639,628,50.4,2021,EN
Wolves,62,2,2,366,335,61,587,389,377,1,10,1,2104,461,490,48.5,2021,EN
Alavés,93,4,3,529,455,72,758,376,324,6,9,0,1910,869,674,56.3,2021,SP
Athletic Club,90,4,3,487,483,89,798,339,292,5,3,1,2098,585,572,50.6,2021,SP
Atlético Madrid,111,7,3,473,503,85,703,365,346,4,8,3,2002,559,539,50.9,2021,SP
Barcelona,97,5,3,499,489,99,798,325,331,6,3,0,2066,454,410,52.5,2021,SP
Betis,87,6,1,485,470,71,547,361,392,4,3,2,1908,505,511,49.7,2021,SP
Cádiz,105,3,3,488,449,69,865,413,380,5,13,0,2077,601,693,46.4,2021,SP
Celta Vigo,87,3,1,507,463,83,768,376,409,3,8,2,2144,603,696,46.4,2021,SP
Elche,104,6,1,518,471,74,720,305,325,1,10,0,1982,527,515,50.6,2021,SP
Espanyol,99,7,3,440,516,70,627,326,338,3,5,2,1736,447,574,43.8,2021,SP
Getafe,121,8,1,559,481,53,621,401,360,1,4,1,1924,721,717,50.1,2021,SP
Granada,105,4,1,477,466,62,691,326,343,2,9,2,1867,602,743,44.8,2021,SP
Levante,109,6,2,550,403,77,624,377,305,6,6,0,2054,441,492,47.3,2021,SP
Mallorca,114,7,4,554,535,67,597,344,332,6,8,4,2007,651,703,48.1,2021,SP
Osasuna,84,2,1,498,391,66,864,368,331,3,7,2,2118,808,743,52.1,2021,SP
Rayo Vallecano,101,3,1,537,511,83,862,365,359,4,9,1,2110,652,655,49.9,2021,SP
Real Madrid,76,0,0,394,474,106,611,334,345,10,5,0,1941,397,319,55.4,2021,SP
Real Sociedad,77,4,1,491,465,76,638,348,339,8,6,0,2012,678,597,53.2,2021,SP
Sevilla,97,4,2,462,462,80,787,270,302,3,4,0,2064,595,561,51.5,2021,SP
Valencia,134,8,6,641,586,52,765,339,364,8,8,3,2079,564,599,48.5,2021,SP
Villarreal,81,1,1,472,459,91,574,329,312,3,5,1,1946,491,437,52.9,2021,SP
Arminia,55,2,1,433,307,54,487,421,311,2,7,2,1907,658,734,47.3,2021,GE
Augsburg,74,0,0,448,357,73,592,363,335,4,5,2,1927,557,604,48.0,2021,GE
Bayern Munich,36,2,0,305,354,76,656,349,338,1,2,1,2220,422,394,51.7,2021,GE
Bochum,55,2,0,424,391,75,600,429,353,4,8,4,2088,609,599,50.4,2021,GE
Dortmund,63,1,1,362,398,73,491,347,322,6,6,2,2052,419,363,53.6,2021,GE
Eint Frankfurt,61,1,1,422,299,53,697,377,330,1,4,1,2251,552,644,46.2,2021,GE
Freiburg,34,0,0,392,375,58,633,355,299,4,2,1,1920,675,638,51.4,2021,GE
Gladbach,67,1,0,359,472,73,440,326,345,6,5,0,1850,464,419,52.5,2021,GE
Greuther Fürth,61,0,0,437,434,69,478,374,336,3,6,5,1878,468,602,43.7,2021,GE
Hertha BSC,62,2,0,421,430,73,505,406,321,3,8,0,1830,556,575,49.2,2021,GE
Hoffenheim,75,0,0,429,348,70,703,285,291,0,4,1,1905,485,574,45.8,2021,GE
Köln,68,1,1,419,459,67,829,426,361,1,1,2,2137,597,590,50.3,2021,GE
Leverkusen,66,2,1,364,329,64,537,360,281,5,4,1,2009,442,415,51.6,2021,GE
Mainz 05,62,4,2,495,386,63,598,439,305,3,6,1,2097,606,580,51.1,2021,GE
RB Leipzig,49,0,0,360,426,66,523,349,289,5,3,1,1994,504,420,54.5,2021,GE
Stuttgart,64,2,1,371,419,53,550,342,307,1,4,1,2021,586,451,56.5,2021,GE
Union Berlin,62,1,1,423,333,64,663,376,296,2,2,4,1975,584,681,46.2,2021,GE
Wolfsburg,61,3,1,411,415,74,619,388,298,3,7,1,1984,621,522,54.3,2021,GE
Atalanta,87,2,1,513,454,68,661,441,341,3,6,3,2292,685,518,56.9,2021,IT
Bologna,92,7,4,443,497,56,601,370,298,3,9,2,1972,492,520,48.6,2021,IT
Cagliari,96,5,3,549,490,70,675,397,303,3,10,1,1995,696,742,48.4,2021,IT
Empoli,87,5,3,506,463,83,704,352,327,6,10,6,1998,427,549,43.8,2021,IT
Fiorentina,89,8,6,464,565,57,776,244,301,8,5,2,1885,469,456,50.7,2021,IT
Genoa,92,3,2,566,499,72,661,449,416,4,5,2,2228,635,743,46.1,2021,IT
Hellas Verona,100,7,5,560,429,97,593,392,308,6,4,2,2413,689,733,48.5,2021,IT
Inter,71,0,0,466,412,57,809,332,332,7,4,1,2004,549,476,53.6,2021,IT
Juventus,77,2,1,508,503,74,550,332,316,5,7,1,2008,550,440,55.6,2021,IT
Lazio,88,5,3,441,450,44,574,315,339,6,6,1,1941,411,427,49.0,2021,IT
Milan,76,3,1,465,513,80,672,355,421,5,5,2,2167,521,517,50.2,2021,IT
Napoli,63,2,0,460,482,67,553,296,327,9,1,1,1981,393,403,49.4,2021,IT
Roma,111,8,6,500,474,60,735,385,362,5,6,2,1980,524,441,54.3,2021,IT
Salernitana,94,5,3,494,522,41,698,353,321,4,8,2,1849,657,506,56.5,2021,IT
