Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,season,country
Newcastle Utd,3,62,1.6,165,104,65.5,13,10,15,8,21.1,2021,EN
Norwich City,2,84,2.2,222,139,66.2,5,7,26,6,15.8,2021,EN
Southampton,3,67,1.8,183,118,64.5,9,13,16,8,21.1,2021,EN
Tottenham,1,40,1.0,137,98,72.3,22,5,11,16,42.1,2021,EN
Watford,2,77,2.0,188,113,62.2,6,5,27,4,10.5,2021,EN
West Ham,2,51,1.3,165,113,70.3,16,8,14,8,21.1,2021,EN
Wolves,2,43,1.1,167,125,79.6,15,6,17,11,28.9,2021,EN
Alavés,3,65,1.7,168,100,64.9,8,7,23,6,15.8,2021,SP
Athletic Club,2,36,1.0,131,96,74.8,14,13,11,13,34.2,2021,SP
Atlético Madrid,1,43,1.1,106,65,66.0,21,8,9,12,31.6,2021,SP
Barcelona,2,38,1.0,123,84,70.7,21,10,7,11,28.9,2021,SP
Betis,2,40,1.0,132,94,72.0,19,8,11,13,34.2,2021,SP
Cádiz,1,51,1.3,170,117,76.5,8,15,15,13,34.2,2021,SP
Celta Vigo,1,43,1.1,136,91,71.3,12,10,16,14,36.8,2021,SP
Elche,2,52,1.4,174,121,74.1,11,9,18,8,21.1,2021,SP
Espanyol,3,53,1.4,169,118,71.0,10,12,16,10,26.3,2021,SP
Getafe,2,41,1.1,132,91,70.5,8,15,15,14,36.8,2021,SP
Granada,2,61,1.6,193,132,72.0,8,14,16,8,21.1,2021,SP
Levante,4,76,2.0,203,126,65.0,8,11,19,7,18.4,2021,SP
Mallorca,4,63,1.7,152,91,62.5,10,9,19,9,23.7,2021,SP
Osasuna,2,51,1.3,151,99,68.9,12,11,15,12,31.6,2021,SP
Rayo Vallecano,2,50,1.3,163,112,73.6,11,9,18,9,23.7,2021,SP
Real Madrid,2,31,0.8,129,97,78.3,26,8,4,16,42.1,2021,SP
Real Sociedad,2,37,1.0,127,89,74.8,17,11,10,20,52.6,2021,SP
Sevilla,3,30,0.8,121,90,76.9,18,16,4,17,44.7,2021,SP
Valencia,3,53,1.4,163,112,71.8,11,15,12,12,31.6,2021,SP
Villarreal,2,37,1.0,128,91,74.2,16,11,11,14,36.8,2021,SP
Arminia,2,53,1.6,180,129,74.4,5,13,16,7,20.6,2021,GE
Augsburg,1,56,1.6,156,102,67.3,10,8,16,9,26.5,2021,GE
Bayern Munich,3,37,1.1,112,76,68.8,24,5,5,11,32.4,2021,GE
Bochum,2,52,1.5,176,126,73.3,12,6,16,7,20.6,2021,GE
Dortmund,3,52,1.5,136,86,66.2,22,3,9,7,20.6,2021,GE
Eint Frankfurt,3,49,1.4,165,117,72.7,10,12,12,5,14.7,2021,GE
Freiburg,2,46,1.4,153,108,71.2,15,10,9,10,29.4,2021,GE
Gladbach,2,61,1.8,185,122,68.6,12,9,13,5,14.7,2021,GE
Greuther Fürth,3,82,2.4,188,111,59.6,3,9,22,6,17.6,2021,GE
Hertha BSC,2,71,2.1,172,101,63.4,9,6,19,6,17.6,2021,GE
Hoffenheim,2,60,1.8,162,102,64.2,13,7,14,8,23.5,2021,GE
Köln,2,49,1.4,154,106,68.2,14,10,10,4,11.8,2021,GE
Leverkusen,3,47,1.4,162,115,72.2,19,7,8,8,23.5,2021,GE
Mainz 05,2,45,1.3,125,80,68.0,13,7,14,10,29.4,2021,GE
RB Leipzig,3,37,1.1,115,79,70.4,17,7,10,10,29.4,2021,GE
Stuttgart,2,59,1.7,163,105,66.3,7,12,15,4,11.8,2021,GE
Union Berlin,2,44,1.3,122,82,65.6,16,9,9,8,23.5,2021,GE
Wolfsburg,2,54,1.6,156,101,67.9,12,6,16,11,32.4,2021,GE
Atalanta,3,48,1.3,139,94,69.1,16,11,11,10,26.3,2021,IT
Bologna,3,55,1.4,184,130,74.5,12,10,16,13,34.2,2021,IT
Cagliari,2,68,1.8,185,115,67.0,6,12,20,3,7.9,2021,IT
Empoli,1,70,1.8,216,150,69.9,10,11,17,7,18.4,2021,IT
Fiorentina,2,51,1.3,126,75,61.9,19,5,14,11,28.9,2021,IT
Genoa,2,60,1.6,184,125,69.6,4,16,18,10,26.3,2021,IT
Hellas Verona,3,59,1.6,159,101,64.8,14,11,13,4,10.5,2021,IT
Inter,2,32,0.8,127,96,78.0,25,9,4,15,39.5,2021,IT
Juventus,3,37,1.0,123,84,73.2,20,10,8,13,34.2,2021,IT
Lazio,2,58,1.5,146,89,63.7,18,10,10,9,23.7,2021,IT
Milan,2,31,0.8,125,95,78.4,26,8,4,18,47.4,2021,IT
Napoli,3,31,0.8,136,106,77.9,24,7,7,16,42.1,2021,IT
Roma,1,43,1.1,146,104,74.0,18,9,11,15,39.5,2021,IT
Salernitana,3,78,2.0,221,144,67.4,7,10,21,2,5.3,2021,IT
Sampdoria,3,63,1.7,185,123,67.6,10,6,22,7,18.4,2021,IT
Sassuolo,3,66,1.7,177,111,67.2,13,11,14,3,7.9,2021,IT
Spezia,3,71,1.9,208,139,70.7,10,6,22,7,18.4,2021,IT
Torino,3,41,1.1,124,81,74.2,13,11,14,9,23.7,2021,IT
Udinese,2,58,1.5,162,105,67.3,11,14,13,8,21.1,2021,IT
Venezia,3,69,1.8,228,161,74.6,6,9,23,4,10.5,2021,IT
América (MG),3,40,1.0,176,135,78.4,15,8,15,11,28.9,2022,BR
Ath Paranaense,2,48,1.3,170,122,73.5,16,10,12,13,34.2,2022,BR
Atl Goianiense,4,57,1.5,194,139,72.2,8,12,18,4,10.5,2022,BR
Atlético Mineiro,2,37,1.0,121,83,74.4,15,13,10,16,42.1,2022,BR
Avaí,3,60,1.6,173,113,69.9,9,8,21,6,15.8,2022,BR
