Squad,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,season,country
Newcastle Utd,688,18.11,454,85,51,36,56,6,75,1.97,46,7,6,7,7,2,2020,EN
Sheffield Utd,567,14.92,435,48,27,29,23,5,27,0.71,16,3,2,3,3,0,2020,EN
Southampton,728,19.16,513,63,42,47,51,12,83,2.18,49,8,6,7,11,2,2020,EN
Tottenham,786,20.68,553,55,56,49,56,17,120,3.16,86,6,13,8,6,1,2020,EN
West Brom,568,14.95,407,60,26,27,39,9,53,1.39,40,3,1,3,5,1,2020,EN
West Ham,823,21.66,576,92,37,56,53,9,106,2.79,73,12,1,13,7,0,2020,EN
Wolves,821,21.61,572,74,68,47,46,14,63,1.66,39,4,7,7,5,1,2020,EN
Alavés,595,15.66,375,98,24,35,50,13,59,1.55,28,10,3,5,9,4,2020,SP
Athletic Club,723,19.03,539,66,37,25,43,13,73,1.92,52,5,3,5,7,1,2020,SP
Atlético Madrid,796,20.95,585,71,55,42,35,8,120,3.16,90,7,12,3,7,1,2020,SP
Barcelona,1064,28.0,833,50,76,34,61,10,136,3.58,105,2,12,9,7,1,2020,SP
Betis,799,21.03,578,74,59,39,36,13,91,2.39,58,12,6,5,9,1,2020,SP
Cádiz,517,13.61,330,65,38,27,42,15,53,1.39,37,2,3,6,4,1,2020,SP
Celta Vigo,624,16.42,460,51,31,36,38,8,98,2.58,69,6,5,6,10,2,2020,SP
Eibar,758,19.95,503,88,49,52,51,15,48,1.26,30,3,6,4,2,3,2020,SP
Elche,460,12.11,318,60,22,25,30,5,54,1.42,35,8,3,4,3,1,2020,SP
Getafe,618,16.26,413,70,37,37,52,9,38,1.0,22,0,6,6,4,0,2020,SP
Granada,592,15.58,387,66,37,43,50,9,69,1.82,45,4,5,9,4,2,2020,SP
Huesca,719,18.92,517,71,44,34,43,10,56,1.47,41,6,2,4,1,2,2020,SP
